iter	Passed	Remaining
0	9	9389
1	20	10478
2	26	8673
3	33	8269
4	38	7629
5	44	7412
6	54	7768
7	60	7464
8	67	7400
9	72	7159
10	78	7055
11	85	7062
12	91	6945
13	98	6944
14	103	6803
15	108	6697
16	119	6934
17	125	6824
18	131	6805
19	137	6729
20	142	6651
21	150	6706
22	156	6628
23	162	6589
24	167	6545
25	172	6476
26	182	6578
27	187	6513
28	193	6480
29	199	6455
30	205	6410
31	213	6472
32	219	6446
33	226	6427
34	236	6508
35	251	6742
36	257	6701
37	264	6690
38	270	6666
39	280	6725
40	285	6678
41	292	6677
42	298	6632
43	303	6594
44	313	6648
45	318	6612
46	326	6618
47	331	6574
48	337	6551
49	345	6560
50	350	6530
51	359	6555
52	365	6533
53	375	6575
54	381	6555
55	388	6553
56	394	6522
57	400	6498
58	408	6522
59	415	6504
60	422	6500
61	428	6477
62	433	6445
63	444	6506
64	450	6478
65	457	6469
66	462	6443
67	468	6419
68	475	6416
69	481	6391
70	488	6386
71	493	6364
72	499	6343
73	516	6459
74	526	6495
75	536	6524
76	542	6505
77	549	6500
78	556	6493
79	562	6474
80	572	6494
81	577	6469
82	585	6470
83	590	6444
84	598	6440
85	604	6426
86	609	6401
87	617	6399
88	623	6379
89	631	6384
90	638	6374
91	645	6368
92	650	6345
93	656	6324
94	663	6320
95	668	6299
96	674	6279
97	681	6270
98	686	6247
99	697	6273
100	702	6252
101	707	6232
102	714	6222
103	719	6202
104	726	6193
105	732	6180
106	738	6162
107	745	6156
108	752	6151
109	760	6155
110	767	6144
111	772	6128
112	778	6114
113	784	6095
114	790	6082
115	797	6074
116	802	6053
117	809	6048
118	814	6031
119	819	6013
120	829	6027
121	835	6009
122	841	6001
123	847	5984
124	852	5964
125	861	5978
126	867	5966
127	878	5981
128	884	5970
129	896	6002
130	906	6013
131	912	6002
132	922	6010
133	929	6006
134	935	5996
135	942	5986
136	949	5980
137	960	6001
138	969	6004
139	976	5996
140	982	5987
141	990	5984
142	996	5971
143	1003	5963
144	1011	5966
145	1021	5977
146	1028	5967
147	1036	5967
148	1043	5957
149	1049	5946
150	1057	5943
151	1066	5951
152	1076	5958
153	1088	5980
154	1094	5966
155	1102	5962
156	1108	5951
157	1116	5948
158	1123	5942
159	1132	5947
160	1139	5937
161	1146	5932
162	1156	5938
163	1163	5930
164	1170	5921
165	1175	5906
166	1185	5912
167	1192	5904
168	1199	5900
169	1206	5891
170	1214	5890
171	1221	5878
172	1226	5862
173	1232	5852
174	1238	5840
175	1258	5891
176	1264	5880
177	1269	5863
178	1278	5862
179	1284	5853
180	1294	5856
181	1302	5853
182	1311	5853
183	1318	5849
184	1328	5850
185	1337	5854
186	1350	5871
187	1359	5871
188	1365	5860
189	1374	5860
190	1382	5857
191	1389	5847
192	1396	5840
193	1402	5825
194	1413	5836
195	1424	5843
196	1431	5837
197	1444	5849
198	1450	5840
199	1458	5833
200	1476	5869
201	1483	5860
202	1491	5856
203	1497	5842
204	1508	5849
205	1516	5843
206	1526	5846
207	1531	5832
208	1544	5844
209	1553	5845
210	1560	5834
211	1569	5834
212	1575	5822
213	1581	5809
214	1592	5812
215	1605	5828
216	1615	5827
217	1623	5821
218	1629	5812
219	1641	5818
220	1648	5811
221	1654	5799
222	1661	5789
223	1672	5794
224	1678	5779
225	1685	5771
226	1692	5762
227	1699	5752
228	1705	5743
229	1710	5728
230	1718	5720
231	1724	5707
232	1730	5695
233	1738	5690
234	1744	5680
235	1751	5669
236	1756	5655
237	1762	5643
238	1769	5635
239	1775	5621
240	1782	5613
241	1787	5600
242	1796	5595
243	1802	5586
244	1808	5572
245	1815	5564
246	1820	5550
247	1828	5543
248	1834	5532
249	1840	5522
250	1848	5514
251	1853	5500
252	1862	5499
253	1867	5485
254	1875	5478
255	1882	5469
256	1889	5464
257	1900	5467
258	1908	5460
259	1915	5450
260	1924	5450
261	1933	5447
262	1941	5441
263	1951	5439
264	1959	5436
265	1965	5424
266	1972	5415
267	1979	5406
268	1986	5397
269	1997	5399
270	2004	5393
271	2012	5385
272	2018	5376
273	2028	5375
274	2039	5378
275	2045	5367
276	2054	5362
277	2061	5353
278	2066	5340
279	2073	5331
280	2078	5318
281	2084	5306
282	2091	5299
283	2096	5286
284	2104	5279
285	2109	5266
286	2115	5255
287	2124	5252
288	2130	5240
289	2137	5231
290	2141	5218
291	2148	5210
292	2157	5206
293	2163	5195
294	2171	5189
295	2176	5176
296	2182	5166
297	2190	5159
298	2195	5147
299	2201	5137
300	2207	5126
301	2213	5114
302	2220	5107
303	2225	5095
304	2232	5086
305	2237	5075
306	2243	5063
307	2253	5064
308	2259	5052
309	2266	5043
310	2272	5033
311	2280	5028
312	2287	5020
313	2292	5009
314	2299	5001
315	2305	4990
316	2316	4990
317	2322	4980
318	2328	4971
319	2334	4960
320	2339	4948
321	2347	4942
322	2353	4933
323	2361	4927
324	2367	4918
325	2373	4906
326	2380	4898
327	2385	4886
328	2391	4877
329	2399	4871
330	2404	4859
331	2411	4852
332	2417	4841
333	2426	4837
334	2433	4830
335	2450	4842
336	2460	4840
337	2466	4831
338	2474	4825
339	2480	4815
340	2486	4804
341	2493	4798
342	2499	4787
343	2504	4776
344	2510	4766
345	2516	4755
346	2525	4752
347	2530	4741
348	2537	4732
349	2542	4722
350	2548	4712
351	2556	4706
352	2561	4695
353	2567	4684
354	2573	4676
355	2578	4664
356	2585	4657
357	2593	4650
358	2598	4638
359	2605	4631
360	2610	4620
361	2616	4610
362	2623	4603
363	2628	4592
364	2635	4585
365	2641	4576
366	2646	4565
367	2657	4564
368	2662	4552
369	2669	4545
370	2674	4535
371	2680	4524
372	2688	4519
373	2694	4509
374	2701	4502
375	2706	4492
376	2712	4481
377	2721	4478
378	2726	4467
379	2733	4460
380	2738	4449
381	2744	4440
382	2753	4435
383	2758	4425
384	2765	4418
385	2771	4408
386	2777	4399
387	2786	4394
388	2791	4385
389	2798	4377
390	2803	4367
391	2810	4359
392	2818	4354
393	2824	4344
394	2831	4336
395	2836	4326
396	2842	4316
397	2851	4312
398	2857	4304
399	2864	4297
400	2870	4287
401	2876	4279
402	2883	4270
403	2888	4260
404	2894	4252
405	2900	4243
406	2905	4233
407	2915	4230
408	2920	4220
409	2927	4213
410	2934	4204
411	2938	4194
412	2947	4189
